Summary,Issue key,Issue id,Issue Type,Created,Resolved,Status,Custom field (Committed),Assignee,Version / Delivery,sprints,Unnamed: 11,Priority,planned_effort,time_spent,original_estimate,started,num_sprints,hours_spent,days_spent,planned_hours,Components,week_number,cycle_time,lead_time,inward_dep,outward_dep
[CM] LLM not recognizing Material UoM when using the following recap,IDEGENAI-394,21988449,Bug,2024-10-09,2024-10-09,Completed,,I563481,,['IDE Sprint 3'],,High,0.0,0.0,0.0,2024-10-09 00:00:00,1.0,0.0,0.0,0.0,,41,1.0,1.0,IDEGENAI-327,
"Joule is writing ""300 million"" when creating a JSON",IDEGENAI-381,21975073,Bug,2024-10-08,2024-10-09,Completed,,I563481,,['IDE Sprint 3'],,Medium,0.0,0.0,0.0,2024-10-08 00:00:00,1.0,0.0,0.0,0.0,,41,2.0,2.0,"IDEGENAI-205, IDEGENAI-150, IDEGENAI-311",IDEGENAI-326
"[CM] Submit a recap with details (Purchase, multiple items, fixed price) and verify the system recognizes all details correctly.",IDEGENAI-334,21924477,Test Execution,2024-10-02,2024-10-14,Completed,,I563481,,['IDE Sprint 3'],,Medium,0.0,0.0,0.0,2024-10-14 00:00:00,1.0,0.0,0.0,0.0,,42,1.0,9.0,,
"[CM] Submit a recap with details (Sales, multiple items, index price) and verify the system recognizes all details correctly",IDEGENAI-333,21924476,Test Execution,2024-10-02,2024-10-14,Completed,,I563481,,['IDE Sprint 3'],,Medium,0.0,0.0,0.0,2024-10-14 00:00:00,1.0,0.0,0.0,0.0,,42,1.0,9.0,,
"[CM] Submit a recap with details (Purchase, multiple items, index price) and verify the system recognizes all details correctly",IDEGENAI-332,21924473,Test Execution,2024-10-02,2024-10-14,Completed,,I563481,,['IDE Sprint 3'],,Medium,0.0,0.0,0.0,2024-10-14 00:00:00,1.0,0.0,0.0,0.0,,42,1.0,9.0,,
"[CM] Submit a recap with details (Purchase, multiple items, 1 item with index price and 1 with fixed price) and verify the system recognizes all details correctly",IDEGENAI-331,21924471,Test Execution,2024-10-02,2024-10-14,Completed,,I563481,,['IDE Sprint 3'],,Medium,0.0,0.0,0.0,2024-10-11 00:00:00,1.0,0.0,0.0,0.0,,42,2.0,9.0,,
"[CM] Submit a recap with details (Buy&Sell, multiple items, index price) and verify the system recognizes all details correctly",IDEGENAI-330,21923769,Test Execution,2024-10-02,2024-10-10,Completed,,I563481,,['IDE Sprint 3'],,Medium,0.0,0.0,0.0,2024-10-10 00:00:00,1.0,0.0,0.0,0.0,,41,1.0,7.0,,
"[CM] Submit a recap with details (Sales, multiple items, 1 item with index price and 1 with fixed price) and verify the system recognizes all details correctly",IDEGENAI-329,21923767,Test Execution,2024-10-02,2024-10-14,Completed,,I563481,,['IDE Sprint 3'],,Medium,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,42,,9.0,,
"[CM] Submit a recap with details (Purchase, single item, fixed price) and verify the system recognizes all details correctly.",IDEGENAI-328,21923760,Test Execution,2024-10-02,2024-10-09,Completed,,I563481,,['IDE Sprint 3'],,Medium,0.0,0.0,0.0,2024-10-09 00:00:00,1.0,0.0,0.0,0.0,,41,1.0,6.0,,
"[CM] Submit a recap with details (Purchase, single, index price) and verify the system recognizes all details correctly",IDEGENAI-327,21923758,Test Execution,2024-10-02,2024-10-09,Completed,,I563481,,['IDE Sprint 3'],,Medium,0.0,0.0,0.0,2024-10-08 00:00:00,1.0,0.0,0.0,0.0,,41,2.0,6.0,,IDEGENAI-394
"[CM] Submit a recap with details (Sales, single item, fixed price) and verify the system recognizes all details correctly",IDEGENAI-326,21923757,Test Execution,2024-10-02,2024-10-09,Completed,,I563481,,['IDE Sprint 3'],,Medium,0.0,0.0,0.0,2024-10-08 00:00:00,1.0,0.0,0.0,0.0,,41,2.0,6.0,IDEGENAI-381,
"[CM] Submit a recap with details (Sales, single item, index price) and verify the system recognizes all details correctly",IDEGENAI-325,21923746,Test Execution,2024-10-02,2024-10-09,Completed,,I563481,,['IDE Sprint 3'],,Medium,0.0,0.0,0.0,2024-10-08 00:00:00,1.0,0.0,0.0,0.0,,41,2.0,6.0,,
Parse Fields from Trade Recap,IDEGENAI-271,21822082,User Story,2024-09-23,2024-10-02,Completed,,I515187,,['IDE Sprint 2'],,Medium,0.0,0.0,0.0,2024-09-24 00:00:00,1.0,0.0,0.0,0.0,,40,7.0,8.0,"IDEGENAI-299, IDEGENAI-303, IDEGENAI-302, IDEGENAI-300, IDEGENAI-308, IDEGENAI-306, IDEGENAI-307, IDEGENAI-304, IDEGENAI-301, IDEGENAI-305",
Replicate Master Data,IDEGENAI-266,21822077,User Story,2024-09-23,2024-10-07,Completed,,I544810,,['IDE Sprint 2'],,Medium,0.0,0.0,0.0,2024-09-24 00:00:00,1.0,0.0,0.0,0.0,,41,10.0,11.0,,
Joule Technical Guidelines,IDEGENAI-235,21639434,Backlog Item,2024-09-09,2024-09-19,Completed,,I840577,,['IDE Sprint 1'],,Medium,0.0,0.0,0.0,2024-09-17 00:00:00,1.0,0.0,0.0,0.0,,38,3.0,9.0,,
Unified Customer Services,IDEGENAI-231,21637493,User Story,2024-09-09,2024-09-23,Completed,,I532017,,['IDE Sprint 1'],,Medium,0.0,0.0,0.0,2024-09-10 00:00:00,1.0,0.0,0.0,0.0,,39,9.0,10.0,,SAPBTPCFSSR-679
Replicate Master Data,IDEGENAI-213,21382367,User Story,2024-08-21,2024-10-07,Completed,,I544810,,"['IDE Sprint 1', 'IDE Sprint 2']",,Medium,0.0,0.0,0.0,2024-09-19 00:00:00,2.0,0.0,0.0,0.0,,41,12.0,33.0,,
Parse Fields from Trade Recap,IDEGENAI-205,21382358,User Story,2024-08-21,2024-10-08,Completed,,I515187,,['IDE Sprint 1'],,Medium,0.0,0.0,0.0,2024-09-12 00:00:00,1.0,0.0,0.0,0.0,,41,18.0,34.0,"IDEGENAI-567, IDEGENAI-321, IDEGENAI-322, IDEGENAI-320","IDEGENAI-381, IDEGENAI-533"
SAP Cloud Identity Services,IDEGENAI-181,20178365,User Story,2024-06-20,2024-09-09,Completed,,I840577,,[''],,Medium,0.0,0.0,0.0,2024-07-16 00:00:00,1.0,0.0,0.0,0.0,,37,39.0,57.0,,
Approuter Service,IDEGENAI-15,20037721,User Story,2024-06-11,2024-09-09,Completed,,I840577,,[''],,Medium,0.0,0.0,0.0,2024-06-19 00:00:00,1.0,0.0,0.0,0.0,,37,58.0,64.0,,
Grounding Service,IDEGENAI-14,20037734,User Story,2024-06-11,2024-09-09,Obsolete,,I544810,,[''],,Medium,0.0,0.0,0.0,2024-06-24 00:00:00,1.0,0.0,0.0,0.0,,37,55.0,64.0,,
Hyperspace Pipeline,IDEGENAI-8,20038469,User Story,2024-06-11,2024-10-07,Completed,,I531069,,"['IDE Sprint 1', 'IDE Sprint 2']",,Medium,0.0,0.0,0.0,2024-09-12 00:00:00,2.0,0.0,0.0,0.0,,41,17.0,83.0,,
Development Landscape,IDEGENAI-5,20037713,User Story,2024-06-11,2024-09-10,Completed,,I840577,,['IDE Sprint 1'],,Medium,0.0,0.0,0.0,2024-06-11 00:00:00,1.0,0.0,0.0,0.0,,37,65.0,65.0,,
Summary Service,IDEGENAI-3,20037729,User Story,2024-06-11,2024-09-09,Completed,,I544810,,[''],,Medium,0.0,0.0,0.0,2024-06-14 00:00:00,1.0,0.0,0.0,0.0,,37,61.0,64.0,,
LLM Service,IDEGENAI-1,20038451,User Story,2024-06-11,2024-09-09,Obsolete,,I532017,,[''],,Medium,0.0,0.0,0.0,2024-06-18 00:00:00,1.0,0.0,0.0,0.0,,37,59.0,64.0,,
"When sending a recap with multiple items being purchased, joule is understanding it as Buy & Sell",IDEGENAI-533,22019969,Bug,2024-10-11 00:00:00,2024-10-15 00:00:00,Completed,,I563481,,['IDE Sprint 3'],,Medium,0.0,0.0,0.0,2024-10-11 00:00:00,1.0,0.0,0.0,0.0,,42,3.0,3.0,"IDEGENAI-205, IDEGENAI-150, IDEGENAI-298",
